Código IES;Instituição(IES);Sigla;Categoria Administrativa;Código Curso;Nome do Curso;Grau;Modalidade;CC;Ano CC;CPC;Ano CPC;ENADE;Ano ENADE;IDD;Ano IDD;Vagas Autorizadas;Data início funcionamento;Data Ato de Criação;Situação;Código Área Geral CINE;Área Geral CINE;Código Área Específica CINE;Área Específica CINE;Código Área Detalhada CINE;Área Detalhada CINE;Código Rótulo CINE;Rótulo CINE
2835;CENTRO UNIVERSITÁRIO MAURÍCIO DE NASSAU;UNINASSAU;Privada com fins lucrativos;1108786;MEDICINA;Bacharelado;Presencial;5;2025;3;2023;2;2025;2;2023;268;06/08/2012;06/06/2012;Em Atividade;9;Saúde e bem-estar;91;Saúde;912;Medicina;0912M01;Medicina
2835;CENTRO UNIVERSITÁRIO MAURÍCIO DE NASSAU;UNINASSAU;Privada com fins lucrativos;1205557;MEDICINA VETERINÁRIA;Bacharelado;Presencial;4;2017;3;2023;2;2023;2;2023;480;28/02/2013;05/06/2012;Em Atividade;8;Agricultura, silvicultura, pesca e veterinária;84;Veterinária;841;Veterinária;0841M01;Medicina veterinária
2835;CENTRO UNIVERSITÁRIO MAURÍCIO DE NASSAU;UNINASSAU;Privada com fins lucrativos;1279300;BIOMEDICINA;Bacharelado;Presencial;-;;-;;-;;-;;240;23/02/2015;24/01/2014;Extinto;9;Saúde e bem-estar;91;Saúde;914;Tecnologia de diagnóstico e tratamento médico;0914B01;Biomedicina
2835;CENTRO UNIVERSITÁRIO MAURÍCIO DE NASSAU;UNINASSAU;Privada com fins lucrativos;1404791;BIOMEDICINA;Bacharelado;A Distância;4;2023;3;2023;2;2023;2;2023;8100;01/02/2018;22/06/2017;Em Extinção;9;Saúde e bem-estar;91;Saúde;914;Tecnologia de diagnóstico e tratamento médico;0914B01;Biomedicina
2835;CENTRO UNIVERSITÁRIO MAURÍCIO DE NASSAU;UNINASSAU;Privada com fins lucrativos;1467669;MEDICINA VETERINÁRIA;Bacharelado;A Distância;-;;-;;-;;-;;8850;Não iniciado;04/01/2019;Em Extinção;8;Agricultura, silvicultura, pesca e veterinária;84;Veterinária;841;Veterinária;0841M01;Medicina veterinária
2835;CENTRO UNIVERSITÁRIO MAURÍCIO DE NASSAU;UNINASSAU;Privada com fins lucrativos;1563225;BIOMEDICINA;Bacharelado;Presencial;-;;-;;-;;-;;240;01/08/2022;30/12/2020;Em Atividade;9;Saúde e bem-estar;91;Saúde;914;Tecnologia de diagnóstico e tratamento médico;0914B01;Biomedicina
2835;CENTRO UNIVERSITÁRIO MAURÍCIO DE NASSAU;UNINASSAU;Privada com fins lucrativos;1576129;BIOMEDICINA;Bacharelado;Presencial;3;2025;-;;-;;-;;240;02/07/2021;01/07/2021;Em Atividade;9;Saúde e bem-estar;91;Saúde;914;Tecnologia de diagnóstico e tratamento médico;0914B01;Biomedicina
2835;CENTRO UNIVERSITÁRIO MAURÍCIO DE NASSAU;UNINASSAU;Privada com fins lucrativos;1595454;MEDICINA VETERINÁRIA;Bacharelado;Presencial;4;2025;-;;-;;-;;120;01/02/2022;05/11/2021;Em Atividade;8;Agricultura, silvicultura, pesca e veterinária;84;Veterinária;841;Veterinária;0841M01;Medicina veterinária
2835;CENTRO UNIVERSITÁRIO MAURÍCIO DE NASSAU;UNINASSAU;Privada com fins lucrativos;1702006;BIOMEDICINA;Bacharelado;Semipresencial;-;;-;;-;;-;;8100;Não iniciado;25/09/2025;Em Atividade;9;Saúde e bem-estar;91;Saúde;914;Tecnologia de diagnóstico e tratamento médico;0914B01;Biomedicina
2835;CENTRO UNIVERSITÁRIO MAURÍCIO DE NASSAU;UNINASSAU;Privada com fins lucrativos;1709567;MEDICINA VETERINÁRIA;Bacharelado;Semipresencial;-;;-;;-;;-;;177000;Não iniciado;25/09/2025;Em Atividade;8;Agricultura, silvicultura, pesca e veterinária;84;Veterinária;841;Veterinária;0841M01;Medicina veterinária
2835;CENTRO UNIVERSITÁRIO MAURÍCIO DE NASSAU;UNINASSAU;;1723390;MEDICINA VETERINÁRIA;Bacharelado;Presencial;-;;-;;-;;-;;240;Não iniciado;-;Em Atividade;;;;;;;;
2843;FACULDADE DE CIÊNCIAS MÉDICAS E DA SAÚDE DE JUIZ DE FORA;FCMS/JF;Privada com fins lucrativos;74594;MEDICINA;Bacharelado;Presencial;5;2024;4;2023;4;2025;4;2023;120;03/11/2004;04/10/2004;Em Atividade;9;Saúde e bem-estar;91;Saúde;912;Medicina;0912M01;Medicina
