Código IES;Instituição(IES);Sigla;Categoria Administrativa;Código Curso;Nome do Curso;Grau;Modalidade;CC;Ano CC;CPC;Ano CPC;ENADE;Ano ENADE;IDD;Ano IDD;Vagas Autorizadas;Data início funcionamento;Data Ato de Criação;Situação;Código Área Geral CINE;Área Geral CINE;Código Área Específica CINE;Área Específica CINE;Código Área Detalhada CINE;Área Detalhada CINE;Código Rótulo CINE;Rótulo CINE
1;UNIVERSIDADE FEDERAL DE MATO GROSSO;UFMT;Pública Federal;12;MEDICINA;Bacharelado;Presencial;4;2024;3;2023;4;2025;2;2023;80;03/11/1978;03/11/1978;Em Atividade;9;Saúde e bem-estar;91;Saúde;912;Medicina;0912M01;Medicina
1;UNIVERSIDADE FEDERAL DE MATO GROSSO;UFMT;Pública Federal;37;MEDICINA VETERINÁRIA;Bacharelado;Presencial;4;2008;4;2023;4;2023;3;2023;60;21/05/1992;21/05/1992;Em Atividade;8;Agricultura, silvicultura, pesca e veterinária;84;Veterinária;841;Veterinária;0841M01;Medicina veterinária
1;UNIVERSIDADE FEDERAL DE MATO GROSSO;UFMT;Pública Federal;100763;MEDICINA VETERINÁRIA;Bacharelado;Presencial;4;2010;4;2023;4;2023;4;2023;100;07/08/2006;13/09/2007;Em Atividade;8;Agricultura, silvicultura, pesca e veterinária;84;Veterinária;841;Veterinária;0841M01;Medicina veterinária
1;UNIVERSIDADE FEDERAL DE MATO GROSSO;UFMT;Pública Federal;116648;BIOMEDICINA;Bacharelado;Presencial;4;2012;4;2023;3;2023;2;2023;45;02/03/2009;30/06/2008;Em Atividade;9;Saúde e bem-estar;91;Saúde;914;Tecnologia de diagnóstico e tratamento médico;0914B01;Biomedicina
1;UNIVERSIDADE FEDERAL DE MATO GROSSO;UFMT;Pública Federal;1261972;MEDICINA;Bacharelado;Presencial;4;2025;3;2023;4;2025;2;2023;60;14/04/2014;12/12/2013;Em Atividade;9;Saúde e bem-estar;91;Saúde;912;Medicina;0912M01;Medicina
2;UNIVERSIDADE DE BRASÍLIA;UNB;Pública Federal;140;MEDICINA;Bacharelado;Presencial;5;2024;4;2023;4;2025;4;2023;76;01/03/1962;01/03/1962;Em Atividade;9;Saúde e bem-estar;91;Saúde;912;Medicina;0912M01;Medicina
2;UNIVERSIDADE DE BRASÍLIA;UNB;Pública Federal;18031;MEDICINA VETERINÁRIA;Bacharelado;Presencial;4;2008;4;2023;4;2023;3;2023;80;01/03/1997;04/11/1996;Em Atividade;8;Agricultura, silvicultura, pesca e veterinária;84;Veterinária;841;Veterinária;0841M01;Medicina veterinária
3;UNIVERSIDADE FEDERAL DE SERGIPE;UFS;Pública Federal;303;MEDICINA;Bacharelado;Presencial;4;2025;4;2023;5;2025;3;2023;100;20/03/1961;11/01/1961;Em Atividade;9;Saúde e bem-estar;91;Saúde;912;Medicina;0912M01;Medicina
3;UNIVERSIDADE FEDERAL DE SERGIPE;UFS;Pública Federal;1108067;MEDICINA VETERINÁRIA;Bacharelado;Presencial;4;2014;4;2023;5;2023;4;2023;50;15/03/2010;14/12/2009;Em Atividade;8;Agricultura, silvicultura, pesca e veterinária;84;Veterinária;841;Veterinária;0841M01;Medicina veterinária
3;UNIVERSIDADE FEDERAL DE SERGIPE;UFS;Pública Federal;1108153;MEDICINA;Bacharelado;Presencial;4;2025;4;2023;5;2025;3;2023;60;27/02/2012;-;Em Atividade;9;Saúde e bem-estar;91;Saúde;912;Medicina;0912M01;Medicina
3;UNIVERSIDADE FEDERAL DE SERGIPE;UFS;Pública Federal;1321453;MEDICINA VETERINÁRIA;Bacharelado;Presencial;5;2022;4;2023;3;2023;3;2023;50;23/11/2015;13/05/2015;Em Atividade;8;Agricultura, silvicultura, pesca e veterinária;84;Veterinária;841;Veterinária;0841M01;Medicina veterinária
4;UNIVERSIDADE FEDERAL DO AMAZONAS;UFAM;Pública Federal;389;MEDICINA;Bacharelado;Presencial;4;2025;2;2023;3;2025;2;2023;112;20/01/1966;20/11/1965;Em Atividade;9;Saúde e bem-estar;91;Saúde;912;Medicina;0912M01;Medicina
4;UNIVERSIDADE FEDERAL DO AMAZONAS;UFAM;Pública Federal;5001406;MEDICINA;Bacharelado;Presencial;5;2024;2;2023;SC;2025;1;2023;48;04/09/2017;04/09/2017;Em Atividade;9;Saúde e bem-estar;91;Saúde;912;Medicina;0912M01;Medicina
5;UNIVERSIDADE FEDERAL DO PIAUÍ;UFPI;Pública Federal;484;MEDICINA;Bacharelado;Presencial;5;2024;3;2023;4;2025;3;2023;80;01/01/1968;11/08/1966;Em Atividade;9;Saúde e bem-estar;91;Saúde;912;Medicina;0912M01;Medicina
5;UNIVERSIDADE FEDERAL DO PIAUÍ;UFPI;Pública Federal;504;MEDICINA VETERINÁRIA;Bacharelado;Presencial;4;2008;3;2023;3;2023;2;2023;80;13/03/1978;06/12/1976;Em Atividade;8;Agricultura, silvicultura, pesca e veterinária;84;Veterinária;841;Veterinária;0841M01;Medicina veterinária
5;UNIVERSIDADE FEDERAL DO PIAUÍ;UFPI;Pública Federal;102675;MEDICINA VETERINÁRIA;Bacharelado;Presencial;4;2010;4;2023;4;2023;4;2023;100;09/04/2007;23/10/2006;Em Atividade;8;Agricultura, silvicultura, pesca e veterinária;84;Veterinária;841;Veterinária;0841M01;Medicina veterinária
5;UNIVERSIDADE FEDERAL DO PIAUÍ;UFPI;Pública Federal;1342610;MEDICINA;Bacharelado;Presencial;4;2025;-;;4;2025;-;;30;25/07/2016;03/12/2015;Em Atividade;9;Saúde e bem-estar;91;Saúde;912;Medicina;0912M01;Medicina
5;UNIVERSIDADE FEDERAL DO PIAUÍ;UFPI;;1714081;MEDICINA;Bacharelado;Presencial;-;;-;;-;;-;;;Não iniciado;-;Em Atividade;;;;;;;;
6;UNIVERSIDADE FEDERAL DE OURO PRETO;UFOP;Pública Federal;103596;MEDICINA;Bacharelado;Presencial;3;2025;4;2023;5;2025;3;2023;80;24/09/2007;27/12/2007;Em Atividade;9;Saúde e bem-estar;91;Saúde;912;Medicina;0912M01;Medicina
7;UNIVERSIDADE FEDERAL DE SÃO CARLOS;UFSCAR;Pública Federal;90091;MEDICINA;Bacharelado;Presencial;4;2025;4;2023;5;2025;3;2023;40;01/03/2006;23/12/2005;Em Atividade;9;Saúde e bem-estar;91;Saúde;912;Medicina;0912M01;Medicina
8;UNIVERSIDADE FEDERAL DE VIÇOSA;UFV;Pública Federal;695;MEDICINA VETERINÁRIA;Bacharelado;Presencial;4;2008;5;2023;5;2023;5;2023;60;01/03/1977;12/07/1976;Em Atividade;8;Agricultura, silvicultura, pesca e veterinária;84;Veterinária;841;Veterinária;0841M01;Medicina veterinária
8;UNIVERSIDADE FEDERAL DE VIÇOSA;UFV;Pública Federal;1068548;MEDICINA;Bacharelado;Presencial;4;2025;4;2019;5;2025;5;2019;50;01/03/2010;15/01/2010;Em Atividade;9;Saúde e bem-estar;91;Saúde;912;Medicina;0912M01;Medicina
9;UNIVERSIDADE ESTADUAL DE LONDRINA;UEL;Pública Estadual;758;MEDICINA;Bacharelado;Presencial;-;;3;2023;4;2025;2;2023;80;15/02/1967;21/12/1965;Em Atividade;9;Saúde e bem-estar;91;Saúde;912;Medicina;0912M01;Medicina
9;UNIVERSIDADE ESTADUAL DE LONDRINA;UEL;Pública Estadual;777;MEDICINA VETERINÁRIA;Bacharelado;Presencial;-;;4;2023;5;2023;4;2023;80;16/02/1973;25/05/1972;Em Atividade;8;Agricultura, silvicultura, pesca e veterinária;84;Veterinária;841;Veterinária;0841M01;Medicina veterinária
9;UNIVERSIDADE ESTADUAL DE LONDRINA;UEL;Pública Estadual;22083;BIOMEDICINA;Bacharelado;Presencial;-;;4;2023;5;2023;3;2023;20;21/02/2000;18/08/1999;Em Atividade;9;Saúde e bem-estar;91;Saúde;914;Tecnologia de diagnóstico e tratamento médico;0914B01;Biomedicina
10;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ;PUCPR;Privada sem fins lucrativos;868;MEDICINA;Bacharelado;Presencial;5;2024;4;2023;4;2025;4;2023;180;11/03/1957;04/01/1957;Em Atividade;9;Saúde e bem-estar;91;Saúde;912;Medicina;0912M01;Medicina
10;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ;PUCPR;Privada sem fins lucrativos;888;MEDICINA VETERINÁRIA;Bacharelado;Presencial;-;;-;;-;;-;;180;02/03/1995;17/10/1994;Extinto;8;Agricultura, silvicultura, pesca e veterinária;84;Veterinária;841;Veterinária;0841M01;Medicina veterinária
10;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ;PUCPR;Privada sem fins lucrativos;60123;MEDICINA VETERINÁRIA;Bacharelado;Presencial;4;2009;5;2023;4;2023;4;2023;80;10/02/2003;31/12/2002;Em Atividade;8;Agricultura, silvicultura, pesca e veterinária;84;Veterinária;841;Veterinária;0841M01;Medicina veterinária
10;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ;PUCPR;Privada sem fins lucrativos;1059179;MEDICINA;Bacharelado;Presencial;5;2024;4;2023;3;2025;2;2023;90;01/08/2012;06/06/2012;Em Atividade;9;Saúde e bem-estar;91;Saúde;912;Medicina;0912M01;Medicina
10;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ;PUCPR;Privada sem fins lucrativos;1268241;MEDICINA VETERINÁRIA;Bacharelado;Presencial;5;2017;4;2023;4;2023;3;2023;300;04/02/2013;25/06/2013;Em Atividade;8;Agricultura, silvicultura, pesca e veterinária;84;Veterinária;841;Veterinária;0841M01;Medicina veterinária
10;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ;PUCPR;Privada sem fins lucrativos;1664947;BIOMEDICINA;Bacharelado;A Distância;-;;-;;-;;-;;150;Não iniciado;21/12/2023;Extinto;9;Saúde e bem-estar;91;Saúde;914;Tecnologia de diagnóstico e tratamento médico;0914B01;Biomedicina
10;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ;PUCPR;Privada sem fins lucrativos;1680908;BIOMEDICINA;Bacharelado;Presencial;-;;-;;-;;-;;120;24/02/2025;02/08/2024;Em Atividade;9;Saúde e bem-estar;91;Saúde;914;Tecnologia de diagnóstico e tratamento médico;0914B01;Biomedicina
10;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ;PUCPR;Privada sem fins lucrativos;1680910;BIOMEDICINA;Bacharelado;Presencial;-;;-;;-;;-;;120;24/02/2025;02/08/2024;Em Atividade;9;Saúde e bem-estar;91;Saúde;914;Tecnologia de diagnóstico e tratamento médico;0914B01;Biomedicina
10;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ;PUCPR;Privada sem fins lucrativos;1680911;BIOMEDICINA;Bacharelado;Presencial;-;;-;;-;;-;;120;Não iniciado;02/08/2024;Em Atividade;9;Saúde e bem-estar;91;Saúde;914;Tecnologia de diagnóstico e tratamento médico;0914B01;Biomedicina
11;UNIVERSIDADE CATÓLICA DE PERNAMBUCO;UNICAP;Privada sem fins lucrativos;1200712;MEDICINA;Bacharelado;Presencial;5;2020;3;2023;3;2025;2;2023;120;04/08/2014;16/04/2014;Em Atividade;9;Saúde e bem-estar;91;Saúde;912;Medicina;0912M01;Medicina
12;UNIVERSIDADE FEDERAL DO RIO GRANDE;FURG;Pública Federal;1026;MEDICINA;Bacharelado;Presencial;4;2025;4;2023;4;2025;3;2023;100;01/03/1966;24/04/1967;Em Atividade;9;Saúde e bem-estar;91;Saúde;912;Medicina;0912M01;Medicina
13;UNIVERSIDADE DE CAXIAS DO SUL;UCS;Privada sem fins lucrativos;1107;MEDICINA;Bacharelado;Presencial;5;2025;3;2023;4;2025;3;2023;100;01/03/1968;17/11/1967;Em Atividade;9;Saúde e bem-estar;91;Saúde;912;Medicina;0912M01;Medicina
13;UNIVERSIDADE DE CAXIAS DO SUL;UCS;Privada sem fins lucrativos;1190503;MEDICINA VETERINÁRIA;Bacharelado;Presencial;3;2017;4;2023;3;2023;4;2023;150;04/03/2013;19/09/2012;Em Atividade;8;Agricultura, silvicultura, pesca e veterinária;84;Veterinária;841;Veterinária;0841M01;Medicina veterinária
13;UNIVERSIDADE DE CAXIAS DO SUL;UCS;Privada sem fins lucrativos;1424962;BIOMEDICINA;Bacharelado;A Distância;-;;-;;-;;-;;60;Não iniciado;20/11/2017;Extinto;9;Saúde e bem-estar;91;Saúde;914;Tecnologia de diagnóstico e tratamento médico;0914B01;Biomedicina
13;UNIVERSIDADE DE CAXIAS DO SUL;UCS;Privada sem fins lucrativos;1424963;BIOMEDICINA;Bacharelado;Presencial;5;2022;4;2023;3;2023;4;2023;60;01/03/2018;20/10/2017;Em Atividade;9;Saúde e bem-estar;91;Saúde;914;Tecnologia de diagnóstico e tratamento médico;0914B01;Biomedicina
13;UNIVERSIDADE DE CAXIAS DO SUL;UCS;Privada sem fins lucrativos;1619565;BIOMEDICINA;Bacharelado;Presencial;-;;-;;-;;-;;40;04/03/2024;27/10/2023;Em Atividade;9;Saúde e bem-estar;91;Saúde;914;Tecnologia de diagnóstico e tratamento médico;0914B01;Biomedicina
14;UNIVERSIDADE DO VALE DO RIO DOS SINOS;UNISINOS;Privada sem fins lucrativos;1149146;BIOMEDICINA;Bacharelado;Presencial;4;2014;4;2023;4;2023;3;2023;120;28/02/2011;03/11/2010;Em Atividade;9;Saúde e bem-estar;91;Saúde;914;Tecnologia de diagnóstico e tratamento médico;0914B01;Biomedicina
14;UNIVERSIDADE DO VALE DO RIO DOS SINOS;UNISINOS;Privada sem fins lucrativos;1397773;MEDICINA;Bacharelado;Presencial;5;2024;3;2023;3;2025;3;2023;87;04/09/2017;02/08/2017;Em Atividade;9;Saúde e bem-estar;91;Saúde;912;Medicina;0912M01;Medicina
14;UNIVERSIDADE DO VALE DO RIO DOS SINOS;UNISINOS;Privada sem fins lucrativos;1478081;BIOMEDICINA;Bacharelado;A Distância;4;2023;4;2023;3;2023;2;2023;80;29/03/2019;29/03/2019;Em Extinção;9;Saúde e bem-estar;91;Saúde;914;Tecnologia de diagnóstico e tratamento médico;0914B01;Biomedicina
14;UNIVERSIDADE DO VALE DO RIO DOS SINOS;UNISINOS;Privada sem fins lucrativos;1701335;BIOMEDICINA;Bacharelado;Semipresencial;-;;-;;-;;-;;80;Não iniciado;25/09/2025;Em Atividade;9;Saúde e bem-estar;91;Saúde;914;Tecnologia de diagnóstico e tratamento médico;0914B01;Biomedicina
15;UNIVERSIDADE CATÓLICA DE PETRÓPOLIS;UCP;Privada sem fins lucrativos;150246;BIOMEDICINA;Bacharelado;Presencial;4;2014;4;2023;4;2023;4;2023;80;01/08/2010;12/11/2008;Em Atividade;9;Saúde e bem-estar;91;Saúde;914;Tecnologia de diagnóstico e tratamento médico;0914B01;Biomedicina
16;UNIVERSIDADE GAMA FILHO;UGF;Privada com fins lucrativos;1372;MEDICINA;Bacharelado;Presencial;-;;-;;-;;-;;170;02/01/1965;15/10/1965;Extinto;9;Saúde e bem-estar;91;Saúde;912;Medicina;0912M01;Medicina
17;UNIVERSIDADE FEDERAL DE UBERLÂNDIA;UFU;Pública Federal;1439;MEDICINA;Bacharelado;Presencial;4;2019;3;2023;5;2025;2;2023;120;01/08/1968;15/02/1968;Em Atividade;9;Saúde e bem-estar;91;Saúde;912;Medicina;0912M01;Medicina
17;UNIVERSIDADE FEDERAL DE UBERLÂNDIA;UFU;Pública Federal;1440;MEDICINA VETERINÁRIA;Bacharelado;Presencial;4;2007;4;2023;4;2023;3;2023;80;01/02/1972;07/12/1971;Em Atividade;8;Agricultura, silvicultura, pesca e veterinária;84;Veterinária;841;Veterinária;0841M01;Medicina veterinária
17;UNIVERSIDADE FEDERAL DE UBERLÂNDIA;UFU;Pública Federal;98992;BIOMEDICINA;Bacharelado;Presencial;5;2010;4;2023;4;2023;2;2023;25;01/03/2007;30/10/2006;Em Atividade;9;Saúde e bem-estar;91;Saúde;914;Tecnologia de diagnóstico e tratamento médico;0914B01;Biomedicina
18;UNIVERSIDADE CATÓLICA DE PELOTAS;UCPEL;Privada sem fins lucrativos;1518;MEDICINA;Bacharelado;Presencial;5;2025;3;2023;3;2025;4;2023;180;01/03/1963;15/12/1962;Em Atividade;9;Saúde e bem-estar;91;Saúde;912;Medicina;0912M01;Medicina
18;UNIVERSIDADE CATÓLICA DE PELOTAS;UCPEL;Privada sem fins lucrativos;1551795;BIOMEDICINA;Bacharelado;A Distância;5;2025;-;;-;;-;;120;01/03/2021;10/12/2020;Em Extinção;9;Saúde e bem-estar;91;Saúde;914;Tecnologia de diagnóstico e tratamento médico;0914B01;Biomedicina
18;UNIVERSIDADE CATÓLICA DE PELOTAS;UCPEL;Privada sem fins lucrativos;1701337;BIOMEDICINA;Bacharelado;Semipresencial;-;;-;;-;;-;;120;Não iniciado;25/09/2025;Em Atividade;9;Saúde e bem-estar;91;Saúde;914;Tecnologia de diagnóstico e tratamento médico;0914B01;Biomedicina
19;PONTIFÍCIA UNIVERSIDADE CATÓLICA DE CAMPINAS;PUC-CAMPINAS;Privada sem fins lucrativos;1629;MEDICINA;Bacharelado;Presencial;5;2025;3;2023;4;2025;3;2023;120;01/03/1976;23/12/1975;Em Atividade;9;Saúde e bem-estar;91;Saúde;912;Medicina;0912M01;Medicina
19;PONTIFÍCIA UNIVERSIDADE CATÓLICA DE CAMPINAS;PUC-CAMPINAS;Privada sem fins lucrativos;1374846;MEDICINA VETERINÁRIA;Bacharelado;Presencial;4;2024;3;2023;3;2023;2;2023;120;13/02/2017;25/08/2016;Em Atividade;8;Agricultura, silvicultura, pesca e veterinária;84;Veterinária;841;Veterinária;0841M01;Medicina veterinária
19;PONTIFÍCIA UNIVERSIDADE CATÓLICA DE CAMPINAS;PUC-CAMPINAS;Privada sem fins lucrativos;1550478;BIOMEDICINA;Bacharelado;Presencial;5;2024;-;;-;;-;;60;22/02/2021;24/09/2020;Em Atividade;9;Saúde e bem-estar;91;Saúde;914;Tecnologia de diagnóstico e tratamento médico;0914B01;Biomedicina
20;UNIVERSIDADE DE PASSO FUNDO;UPF;Privada sem fins lucrativos;1725;MEDICINA;Bacharelado;Presencial;5;2025;4;2023;4;2025;4;2023;100;19/03/1970;05/05/1969;Em Atividade;9;Saúde e bem-estar;91;Saúde;912;Medicina;0912M01;Medicina
20;UNIVERSIDADE DE PASSO FUNDO;UPF;Privada sem fins lucrativos;18484;MEDICINA VETERINÁRIA;Bacharelado;Presencial;4;2008;4;2023;3;2023;4;2023;90;05/03/1997;26/09/1996;Em Atividade;8;Agricultura, silvicultura, pesca e veterinária;84;Veterinária;841;Veterinária;0841M01;Medicina veterinária
20;UNIVERSIDADE DE PASSO FUNDO;UPF;;1719627;MEDICINA VETERINÁRIA;Bacharelado;Semipresencial;-;;-;;-;;-;;40;Não iniciado;-;Em Atividade;;;;;;;;
21;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL;PUCRS;Privada sem fins lucrativos;1879;MEDICINA;Bacharelado;Presencial;4;2025;4;2023;5;2025;4;2023;120;26/05/1970;25/06/1970;Em Atividade;9;Saúde e bem-estar;91;Saúde;912;Medicina;0912M01;Medicina
21;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL;PUCRS;Privada sem fins lucrativos;1897;MEDICINA VETERINÁRIA;Bacharelado;Presencial;-;;-;;-;;-;;60;03/03/1972;-;Extinto;8;Agricultura, silvicultura, pesca e veterinária;84;Veterinária;841;Veterinária;0841M01;Medicina veterinária
21;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL;PUCRS;Privada sem fins lucrativos;1365727;BIOMEDICINA;Bacharelado;Presencial;5;2023;4;2023;3;2023;3;2023;40;06/03/2017;08/09/2016;Em Atividade;9;Saúde e bem-estar;91;Saúde;914;Tecnologia de diagnóstico e tratamento médico;0914B01;Biomedicina
23;UNIVERSIDADE FEEVALE;FEEVALE;Privada sem fins lucrativos;39454;BIOMEDICINA;Bacharelado;Presencial;4;2008;4;2023;3;2023;3;2023;105;21/02/2000;29/09/1999;Em Atividade;9;Saúde e bem-estar;91;Saúde;914;Tecnologia de diagnóstico e tratamento médico;0914B01;Biomedicina
23;UNIVERSIDADE FEEVALE;FEEVALE;Privada sem fins lucrativos;1399487;MEDICINA;Bacharelado;Presencial;5;2022;3;2023;3;2025;3;2023;81;12/09/2017;02/08/2017;Em Atividade;9;Saúde e bem-estar;91;Saúde;912;Medicina;0912M01;Medicina
23;UNIVERSIDADE FEEVALE;FEEVALE;Privada sem fins lucrativos;1404305;MEDICINA VETERINÁRIA;Bacharelado;Presencial;5;2022;3;2023;3;2023;3;2023;90;03/09/2018;06/08/2018;Em Atividade;8;Agricultura, silvicultura, pesca e veterinária;84;Veterinária;841;Veterinária;0841M01;Medicina veterinária
24;UNIVERSIDADE ESTADUAL DE SANTA CRUZ;UESC;Pública Estadual;18310;MEDICINA VETERINÁRIA;Bacharelado;Presencial;-;;4;2023;4;2023;4;2023;62;01/03/1997;27/11/1996;Em Atividade;8;Agricultura, silvicultura, pesca e veterinária;84;Veterinária;841;Veterinária;0841M01;Medicina veterinária
24;UNIVERSIDADE ESTADUAL DE SANTA CRUZ;UESC;Pública Estadual;49910;MEDICINA;Bacharelado;Presencial;-;;3;2023;5;2025;2;2023;42;29/06/2001;21/12/2000;Em Atividade;9;Saúde e bem-estar;91;Saúde;912;Medicina;0912M01;Medicina
24;UNIVERSIDADE ESTADUAL DE SANTA CRUZ;UESC;Pública Estadual;79576;BIOMEDICINA;Bacharelado;Presencial;-;;4;2023;4;2023;3;2023;42;08/03/2004;30/12/2003;Em Atividade;9;Saúde e bem-estar;91;Saúde;914;Tecnologia de diagnóstico e tratamento médico;0914B01;Biomedicina
27;Centro Universitário Vale do Rio Verde;-;Privada sem fins lucrativos;47273;MEDICINA VETERINÁRIA;Bacharelado;Presencial;4;2017;4;2023;3;2023;4;2023;60;02/05/2001;25/05/2000;Em Atividade;8;Agricultura, silvicultura, pesca e veterinária;84;Veterinária;841;Veterinária;0841M01;Medicina veterinária
27;Centro Universitário Vale do Rio Verde;-;Privada sem fins lucrativos;67116;MEDICINA;Bacharelado;Presencial;-;;-;;-;;-;;1;16/10/2003;26/08/2003;Extinto;9;Saúde e bem-estar;91;Saúde;912;Medicina;0912M01;Medicina
27;Centro Universitário Vale do Rio Verde;-;Privada sem fins lucrativos;1454809;BIOMEDICINA;Bacharelado;A Distância;-;;-;;-;;-;;200;Não iniciado;15/08/2018;Extinto;9;Saúde e bem-estar;91;Saúde;914;Tecnologia de diagnóstico e tratamento médico;0914B01;Biomedicina
29;UNIVERSIDADE ESTADUAL DO CEARÁ;UECE;Pública Estadual;2191;MEDICINA VETERINÁRIA;Bacharelado;Presencial;-;;4;2023;4;2023;3;2023;60;23/03/1963;01/12/1962;Em Atividade;8;Agricultura, silvicultura, pesca e veterinária;84;Veterinária;841;Veterinária;0841M01;Medicina veterinária
29;UNIVERSIDADE ESTADUAL DO CEARÁ;UECE;Pública Estadual;66248;MEDICINA;Bacharelado;Presencial;-;;4;2023;5;2025;3;2023;80;24/03/2003;23/09/2002;Em Atividade;9;Saúde e bem-estar;91;Saúde;912;Medicina;0912M01;Medicina
29;UNIVERSIDADE ESTADUAL DO CEARÁ;UECE;Pública Estadual;1651466;MEDICINA;Bacharelado;Presencial;-;;-;;-;;-;;40;11/08/2023;11/08/2023;Em Atividade;9;Saúde e bem-estar;91;Saúde;912;Medicina;0912M01;Medicina
29;UNIVERSIDADE ESTADUAL DO CEARÁ;UECE;Pública Estadual;1658792;MEDICINA VETERINÁRIA;Bacharelado;Presencial;-;;-;;-;;-;;80;28/09/2023;28/09/2023;Em Atividade;8;Agricultura, silvicultura, pesca e veterinária;84;Veterinária;841;Veterinária;0841M01;Medicina veterinária
29;UNIVERSIDADE ESTADUAL DO CEARÁ;UECE;Pública Estadual;1666156;MEDICINA;Bacharelado;Presencial;-;;-;;-;;-;;40;Não iniciado;10/04/2024;Em Atividade;9;Saúde e bem-estar;91;Saúde;912;Medicina;0912M01;Medicina
30;UNIVERSIDADE JOSÉ DO ROSÁRIO VELLANO;UNIFENAS;Privada sem fins lucrativos;2295;MEDICINA VETERINÁRIA;Bacharelado;Presencial;5;2017;4;2023;3;2023;3;2023;80;23/07/1979;24/07/1979;Em Atividade;8;Agricultura, silvicultura, pesca e veterinária;84;Veterinária;841;Veterinária;0841M01;Medicina veterinária
30;UNIVERSIDADE JOSÉ DO ROSÁRIO VELLANO;UNIFENAS;Privada sem fins lucrativos;2304;MEDICINA;Bacharelado;Presencial;5;2020;4;2023;3;2025;2;2023;160;01/02/1989;15/12/1988;Em Atividade;9;Saúde e bem-estar;91;Saúde;912;Medicina;0912M01;Medicina
30;UNIVERSIDADE JOSÉ DO ROSÁRIO VELLANO;UNIFENAS;Privada sem fins lucrativos;64888;BIOMEDICINA;Bacharelado;Presencial;3;2016;3;2023;2;2023;1;2023;60;17/02/2003;22/07/2002;Em Atividade;9;Saúde e bem-estar;91;Saúde;914;Tecnologia de diagnóstico e tratamento médico;0914B01;Biomedicina
30;UNIVERSIDADE JOSÉ DO ROSÁRIO VELLANO;UNIFENAS;Privada sem fins lucrativos;64918;MEDICINA;Bacharelado;Presencial;5;2024;4;2023;3;2025;3;2023;260;10/03/2003;29/06/2001;Em Atividade;9;Saúde e bem-estar;91;Saúde;912;Medicina;0912M01;Medicina
30;UNIVERSIDADE JOSÉ DO ROSÁRIO VELLANO;UNIFENAS;Privada sem fins lucrativos;72712;BIOMEDICINA;Bacharelado;Presencial;-;;-;;-;;-;;60;17/02/2003;29/06/2001;Extinto;9;Saúde e bem-estar;91;Saúde;914;Tecnologia de diagnóstico e tratamento médico;0914B01;Biomedicina
30;UNIVERSIDADE JOSÉ DO ROSÁRIO VELLANO;UNIFENAS;Privada sem fins lucrativos;72714;BIOMEDICINA;Bacharelado;Presencial;5;2017;3;2023;1;2023;2;2023;160;17/02/2003;29/06/2001;Em Atividade;9;Saúde e bem-estar;91;Saúde;914;Tecnologia de diagnóstico e tratamento médico;0914B01;Biomedicina
30;UNIVERSIDADE JOSÉ DO ROSÁRIO VELLANO;UNIFENAS;Privada sem fins lucrativos;1331464;BIOMEDICINA;Bacharelado;Presencial;4;2022;5;2023;5;2023;5;2023;60;06/02/2017;04/04/2016;Em Atividade;9;Saúde e bem-estar;91;Saúde;914;Tecnologia de diagnóstico e tratamento médico;0914B01;Biomedicina
32;UNIVERSIDADE ESTADUAL DE CIÊNCIAS DA SAÚDE DE ALAGOAS - UNCISAL;UNCISAL;Pública Estadual;2348;MEDICINA;Bacharelado;Presencial;-;;4;2019;4;2025;4;2019;50;16/03/1970;16/03/1970;Em Atividade;9;Saúde e bem-estar;91;Saúde;912;Medicina;0912M01;Medicina
38;UNIVERSIDADE DO ESTADO DO PARÁ;UEPA;Pública Estadual;2392;MEDICINA;Bacharelado;Presencial;-;;2;2010;4;2025;-;;100;10/04/1970;29/07/1971;Em Atividade;9;Saúde e bem-estar;91;Saúde;912;Medicina;0912M01;Medicina
38;UNIVERSIDADE DO ESTADO DO PARÁ;UEPA;Pública Estadual;101228;MEDICINA;Bacharelado;Presencial;-;;2;2010;3;2025;-;;20;15/02/2006;08/10/1970;Em Atividade;9;Saúde e bem-estar;91;Saúde;912;Medicina;0912M01;Medicina
38;UNIVERSIDADE DO ESTADO DO PARÁ;UEPA;Pública Estadual;1208612;BIOMEDICINA;Bacharelado;Presencial;-;;-;;-;;-;;20;18/02/2013;-;Em Atividade;9;Saúde e bem-estar;91;Saúde;914;Tecnologia de diagnóstico e tratamento médico;0914B01;Biomedicina
