Ano;Semestre;Nome Mantenedora;CÛdigo e-MEC da Mantenedora;CNPJ da mantenedora;Nome da IES;CÛdigo e-MEC da IES;OrganizaÁ„o AcadÍmica da IES;UF da IES;MunicÌpio da IES;Nome do Local de oferta;CÛdigo do Local de Oferta;MunicÌpio do Local de Oferta;UF do Local de Oferta;Nome da Microregi„o;CÛdigo da Microregi„o;CÛdigo da Mesorregi„o;Nome da Mesorregi„o;¡rea do conhecimento;Sub·rea do conhecimento;CÛd. Do Grupo de PreferÍncia; Nota de Corte GP ;CÛdigo do Curso;Nome do Curso;Turno;Grau;Conceito;Vagas autorizadas e-mec;Vagas ofertadas FIES;Vagas alÈm da Oferta;Vagas ocupadas; Valor bruto do curso ; 1 Semestre Bruto ; 2 Semestre Bruto ; 3 Semestre Bruto ; 4 Semestre Bruto ; 5 Semestre Bruto ; 6 Semestre Bruto ; 7 Semestre Bruto ; 8 Semestre Bruto ; 9 Semestre Bruto ; 10 Semestre Bruto ; 11 Semestre Bruto ; 12 Semestre Bruto ; Valor do curso para o Fies ; 1 Semestre Fies ; 2 Semestre Fies ; 3 Semestre Fies ; 4 Semestre Fies ; 5 Semestre Fies ; 6 Semestre Fies ; 7 Semestre Fies ; 8 Semestre Fies ; 9 Semestre Fies ; 10 Semestre Fies ; 11 Semestre Fies ; 12 Semestre Fies 
2021;1;INSTITUTO LEAO SAMPAIO DE ENSINO UNIVERSITARIO LTDA;1149;02391959000120;CENTRO UNIVERSIT√ÅRIO DOUTOR LE√øO SAMPAIO;1735;Centro Universit·rio;CE;Juazeiro do Norte;UNIDADE SA√öDE;4201;Juazeiro do Norte;CE;Cariri;23032;2307;Sul Cearense;CURSOS NAO PRIORITARIOS;CI NCIAS BIOL”GICAS (BEL), BIOMEDICINA, BIOTECNOLOGIA E CURSOS RELACIONADOS;118659; 491,94 ;90434;BIOMEDICINA;NOTURNO;Bacharelado;4;50;20;20;9; 88.139,64 ; 9.499,38 ; 10.863,30 ; 10.863,24 ; 10.863,24 ; 10.863,18 ; 10.863,12 ; 12.091,26 ; 12.232,92 ; -   ; -   ; -   ; -   ; 77.721,54 ; 8.376,55 ; 9.579,26 ; 9.579,21 ; 9.579,21 ; 9.579,15 ; 9.579,10 ; 10.662,07 ; 10.786,99 ; -   ; -   ; -   ; -   
2021;1;UPPRIMORE SISTEMA EDUCACIONAL LTDA;17399;30891927000120;Faculdade Educamais;4995;Faculdade ;SP;S„o Paulo;UNIDADE SEDE;659982;S„o Paulo;SP;S„o Paulo;35061;3515;Metropolitana de S„o Paulo;CURSOS NAO PRIORITARIOS;CI NCIAS SOCIAIS, POLÕTICAS, ECON‘MICAS E CONT¡BEIS, PSICOLOGIA E SECRETARIADO;120993; 590,16 ;115716;CI NCIAS CONT¡BEIS;NOTURNO;Bacharelado;3;160;40;100;0; 39.960,00 ; 4.500,00 ; 4.500,00 ; 4.815,00 ; 4.815,00 ; 5.152,00 ; 5.152,00 ; 5.513,00 ; 5.513,00 ; -   ; -   ; -   ; -   ; 39.960,00 ; 4.500,00 ; 4.500,00 ; 4.815,00 ; 4.815,00 ; 5.152,00 ; 5.152,00 ; 5.513,00 ; 5.513,00 ; -   ; -   ; -   ; -   
2021;1;SOCIEDADE EDUCACIONAL CESAR VIEIRA DINIZ - PETROLINA LTDA;16313;20880868000130;Faculdade do Vale do S„o Francisco;19674;Faculdade ;PE;Petrolina;CAMPUS PRINCIPAL;1070116;Petrolina;PE;Petrolina;26005;2602;S„o Francisco Pernambucano;CURSOS NAO PRIORITARIOS;ADMINISTRA«√O, ADMINISTRA«√O P⁄BLICA, GEST√O, LOGÕSTICA, NEG”CIOS E CURSOS RELACIONADOS;118899; 529,46 ;1304648;ADMINISTRA«√O;NOTURNO;Bacharelado;4;100;40;22;0; 41.760,00 ; 5.220,00 ; 5.220,00 ; 5.220,00 ; 5.220,00 ; 5.220,00 ; 5.220,00 ; 5.220,00 ; 5.220,00 ; -   ; -   ; -   ; -   ; 41.760,00 ; 5.220,00 ; 5.220,00 ; 5.220,00 ; 5.220,00 ; 5.220,00 ; 5.220,00 ; 5.220,00 ; 5.220,00 ; -   ; -   ; -   ; -   
2021;1;IREP SOCIEDADE DE ENSINO SUPERIOR, MEDIO E FUNDAMENTAL LTDA.;545;02608755000107;Faculdade Est·cio de Alagoas - Est·cio FAL;1298;Faculdade ;AL;MaceiÛ;UNIDADE JATI⁄CA;1006627;MaceiÛ;AL;MaceiÛ;27011;2703;Leste Alagoano;CURSOS NAO PRIORITARIOS;ADMINISTRA«√O, ADMINISTRA«√O P⁄BLICA, GEST√O, LOGÕSTICA, NEG”CIOS E CURSOS RELACIONADOS;119104; 505,96 ;19848;ADMINISTRA«√O;MATUTINO;Bacharelado;3;50;15;35;0; 32.907,44 ; 4.113,43 ; 4.113,43 ; 4.113,43 ; 4.113,43 ; 4.113,43 ; 4.113,43 ; 4.113,43 ; 4.113,43 ; -   ; -   ; -   ; -   ; 23.035,20 ; 2.879,40 ; 2.879,40 ; 2.879,40 ; 2.879,40 ; 2.879,40 ; 2.879,40 ; 2.879,40 ; 2.879,40 ; -   ; -   ; -   ; -   
2021;1;SERVICOS EDUCACIONAIS DO LITORAL PAULISTA LTDA.;1247;03931429000190;FACULDADE DO LITORAL SUL PAULISTA;1898;Faculdade ;SP;Praia Grande;CANTO DO FORTE;658856;Praia Grande;SP;Santos;35063;3515;Metropolitana de S„o Paulo;CURSOS DA ¡REA DE LICENCIATURA, PEDAGOGIA E NORMAL SUPERIOR;PEDAGOGIA;120964; 549,28 ;101747;PEDAGOGIA;NOTURNO;Licenciatura;4;150;10;0;0; 42.000,00 ; 6.000,00 ; 6.000,00 ; 6.000,00 ; 6.000,00 ; 6.000,00 ; 6.000,00 ; 6.000,00 ; -   ; -   ; -   ; -   ; -   ; 39.900,00 ; 5.700,00 ; 5.700,00 ; 5.700,00 ; 5.700,00 ; 5.700,00 ; 5.700,00 ; 5.700,00 ; -   ; -   ; -   ; -   ; -   
2021;1;OPET ORGANIZACAO PARANAENSE DE ENSINO TECNICO LTDA;844;75118406000172;CENTRO UNIVERSIT¡RIO OPET;5403;Centro Universit·rio;PR;Curitiba;NOVA SEDE: REBOU«AS;1926;Curitiba;PR;Curitiba;41037;4110;Metropolitana de Curitiba;CURSOS NAO PRIORITARIOS;ADMINISTRA«√O, ADMINISTRA«√O P⁄BLICA, GEST√O, LOGÕSTICA, NEG”CIOS E CURSOS RELACIONADOS;121354; 566,22 ;76047;PROCESSOS GERENCIAIS;NOTURNO;TecnolÛgico;4;180;13;0;0; 17.407,36 ; 4.194,00 ; 4.194,00 ; 4.509,68 ; 4.509,68 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 17.407,36 ; 4.194,00 ; 4.194,00 ; 4.509,68 ; 4.509,68 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
2021;1;FACULDADES METROPOLITANAS UNIDAS EDUCACIONAIS LTDA.;262;63063689000113;CENTRO UNIVERSIT¡RIO DAS FACULDADES METROPOLITANAS UNIDAS;374;Centro Universit·rio;SP;S„o Paulo;FMU - SANTO AMARO;706435;S„o Paulo;SP;S„o Paulo;35061;3515;Metropolitana de S„o Paulo;CURSOS DA AREA DE SAUDE;SERVI«O SOCIAL, FONOAUDIOLOGIA, TERAPIA OCUPACIONAL E CURSOS RELACIONADOS;120924; 457,42 ;49697;FONOAUDIOLOGIA;MATUTINO;Bacharelado;3;60;13;13;1; 59.224,44 ; 7.620,00 ; 6.728,88 ; 6.303,12 ; 6.424,38 ; 7.471,68 ; 7.294,56 ; 8.489,04 ; 8.892,78 ; -   ; -   ; -   ; -   ; 59.224,44 ; 7.620,00 ; 6.728,88 ; 6.303,12 ; 6.424,38 ; 7.471,68 ; 7.294,56 ; 8.489,04 ; 8.892,78 ; -   ; -   ; -   ; -   
2021;1;IME INSTITUTO METROPOLITANO DE ENSINO LTDA;1416;03817341000142;Centro Universit·rio CEUNI - FAMETRO;2147;Centro Universit·rio;AM;Manaus;UNIDADES 1/2;659007;Manaus;AM;Manaus;13007;1303;Centro Amazonense;CURSOS DA ¡REA DE ENGENHARIA E CI NCIA DA COMPUTA«√O;ENGENHARIA EL…TRICA, ELETR‘NICA, DA COMPUTA«√O E CURSOS RELACIONADOS;117966; 607,30 ;1458137;ENGENHARIA DE CONTROLE E AUTOMA«√O;MATUTINO;Bacharelado;Autorizado;100;25;0;0; 72.000,00 ; 7.200,00 ; 7.200,00 ; 7.200,00 ; 7.200,00 ; 7.200,00 ; 7.200,00 ; 7.200,00 ; 7.200,00 ; 7.200,00 ; 7.200,00 ; -   ; -   ; 39.416,69 ; 3.300,00 ; 3.300,00 ; 3.300,00 ; 4.216,67 ; 4.216,67 ; 4.216,67 ; 4.216,67 ; 4.216,67 ; 4.216,67 ; 4.216,67 ; -   ; -   
2021;1;IME INSTITUTO METROPOLITANO DE ENSINO LTDA;1416;03817341000142;Centro Universit·rio CEUNI - FAMETRO;2147;Centro Universit·rio;AM;Manaus;UNIDADES 1/2;659007;Manaus;AM;Manaus;13007;1303;Centro Amazonense;CURSOS NAO PRIORITARIOS;ADMINISTRA«√O, ADMINISTRA«√O P⁄BLICA, GEST√O, LOGÕSTICA, NEG”CIOS E CURSOS RELACIONADOS;118005; 544,56 ;1150707;GEST√O DA QUALIDADE;NOTURNO;TecnolÛgico;4;120;48;0;0; 16.266,68 ; 4.066,67 ; 4.066,67 ; 4.066,67 ; 4.066,67 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 7.852,78 ; 1.863,89 ; 1.863,89 ; 1.863,89 ; 2.261,11 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
2021;1;ANHANGUERA EDUCACIONAL PARTICIPACOES S/A;16452;04310392000146;CENTRO UNIVERSIT√ÅRIO ANHANGUERA PIT√ÅGORAS AMPLI;242;Centro Universit·rio;SP;Santo AndrÈ;CAMPUS  - SANTO ANDR… - CENTRO;657799;Santo AndrÈ;SP;S„o Paulo;35061;3515;Metropolitana de S„o Paulo;CURSOS DA AREA DE SAUDE;ENFERMAGEM, FISIOTERAPIA, FARM¡CIA, NUTRI«√O E CURSOS RELACIONADOS;120919; 539,98 ;1295984;FARM√ÅCIA;MATUTINO;Bacharelado;Autorizado;75;18;57;0; 59.473,50 ; 7.541,76 ; 6.792,84 ; 7.058,34 ; 5.253,60 ; 8.018,16 ; 5.801,40 ; 6.553,20 ; 4.151,40 ; 4.151,40 ; 4.151,40 ; -   ; -   ; 37.377,16 ; 4.013,46 ; 3.804,00 ; 3.844,80 ; 2.582,82 ; 5.673,87 ; 4.074,35 ; 4.637,21 ; 2.915,55 ; 2.915,55 ; 2.915,55 ; -   ; -   
