NU_ANO;CO_CURSO;CO_CADERNO;NU_ITEM;NU_ITEM_Z;NU_ITEM_X;DS_VT_GAB_OBJ;DS_VT_ACE_OBJ;DS_VT_ESC_OBJ;TP_PR_GER;PROFICIENCIA;NT_GER;QT_ACERTO_AREA_1;QT_ACERTO_AREA_2;QT_ACERTO_AREA_3;QT_ACERTO_AREA_4;QT_ACERTO_AREA_5;PER_ACERTO_ENARE;CO_RS_I1;CO_RS_I2;CO_RS_I3;CO_RS_I4;CO_RS_I5;CO_RS_I6;CO_RS_I7;CO_RS_I8;CO_RS_I9
2025;868;1;90;7;3;ABADCB6B666DCBABDDDCAABDACDBACBDCBDCDDDBCD6BBCCDBCCACCADDABCABBDAACBCBBACAA6BDBADDBCBDBAACBACABDCCA6;1810106166601110000100110010010111110108116001001101111100011111011100101116110010111008111010110006;ABAACCCBACCACBADCACCBBBDCADADCDDCBDCBDCDCDADDCAABCAACCADACACABBDDACBBABCCAAABDADDCBCBACDACBCCCBDDABC;555;-0.34;61.1;11;11;8;9;13;62;C;D;C;B;C;A;D;B;A
2025;91219;1;90;7;3;ABADCB6B666DCBABDDDCAABDACDBACBDCBDCDDDBCD6BBCCDBCCACCADDABCABBDAACBCBBACAA6BDBADDBCBDBAACBACABDCCA6;1811116166611110000100101110011101111108106111001000111000011111111101001106010000110108111110000006;ADADCBABCBCDCBACCACCBCBCACDCBCBDDBDCDDACCCCBBCACBAADCCACADCCABBDAACBBBCCCACADDCDBCBCCDCAACBACBDADDDC;555;-0.34;61.1;9;11;7;11;14;62;C;D;C;B;D;B;D;B;A
2025;5000930;2;90;7;3;6ACCDBACABCAABDBCBDDABDB6AACABBCBCAADBBACBADDACCACABADCB6B666DCBABDDDCAABDACDBACBDCBDCDDDBCD6BBCCDBC;6001010111118101110001016010000001101011101001011018100061666111101011011110111111111000181061001001;CDDCBBCCABCAABCBCBBBDBCBABAACCABDCADDDBACCABBAACAAABAADCABABCDCBAADBDCBABDADDBACBDCBDBBCDACADBDBCBAC;555;-0.34;61.1;10;13;10;8;11;62;C;D;C;B;C;E;D;B;A
2025;1421100;1;90;7;3;ABADCB6B666DCBABDDDCAABDACDBACBDCBDCDDDBCD6BBCCDBCCACCADDABCABBDAACBCBBACAA6BDBADDBCBDBAACBACABDCCA6;1810116066611110000111110110110110101018116100100100111100011101001010101006110011111018101010100016;ADAACBACACCDCBADBBBCAABDBCDAACCDCADBDCDDCDCBDBCCCCDDCCADADACABDDDCCACABCCBDABDCDDDBCBCBBADBDCCBCDDAA;555;-0.34;61.1;9;10;9;10;14;62;C;D;C;C;C;B;C;B;A
2025;69464;1;90;7;3;ABADCB6B666DCBABDDDCAABDACDBACBDCBDCDDDBCD6BBCCDBCCACCADDABCABBDAACBCBBACAA6BDBADDBCBDBAACBACABDCCA6;1810016166611110101100110110011111111008106111100111101010000111001100001006011110111108011000100016;AAAAABCBBDCDCBAADADCBBBDBCDCDCBDCBDCDBBBCBBBBCCCACCACAAADDCBDBBDDBCBAACCCBBAADBADCBCBDAADCBDBBBCDDAC;555;-0.34;61.1;12;10;10;7;13;62;E;C;C;B;C;D;C;B;A
2025;1419799;1;90;7;3;ABADCB6B666DCBABDDDCAABDACDBACBDCBDCDDDBCD6BBCCDBCCACCADDABCABBDAACBCBBACAA6BDBADDBCBDBAACBACABDCCA6;1810006166610100101110110001011111101008006111001110111100011100001101011006111011011018111110011006;ADAABCABABCDBBBDDBDCABBDCDBBBCBDCBDBDAADBACBBCACBCCDCCADBBDCABABDBCBBBAACCBCBDBDDDCCBABAACBACCCDCABC;555;-0.34;61.1;10;12;8;10;12;62;C;D;A;B;A;B;B;B;A
2025;85652;1;90;7;3;ABADCB6B666DCBABDDDCAABDACDBACBDCBDCDDDBCD6BBCCDBCCACCADDABCABBDAACBCBBACAA6BDBADDBCBDBAACBACABDCCA6;1810116166601110100011111010010110001018116111000010000110001111001101111006110011011018111110101006;ADAACBBBADCCCBAADBCDAABDADDABCDDCAABDCDCCDCBBCACADCDAADDDCDBABBDDCCBBBBACBBABDDCDDCCBABBACBACBBCCDCC;555;-0.34;61.1;12;8;11;9;12;62;D;C;B;B;B;E;D;B;A
2025;64918;2;90;7;3;6ACCDBACABCAABDBCBDDABDB6AACABBCBCAADBBACBADDACCACABADCB6B666DCBABDDDCAABDACDBACBDCBDCDDDBCD6BBCCDBC;6000010101018010011101116011000011101011000111110118101161666111101001011100101101101101181060110001;CCBDABCCBBDADADABBDDDBDBADACCCAABCADDCBABDCDDACCCCACAACBABADCDCBACDACCBABDDBDAACDDCADCBDDDCAADBCABCC;555;-0.34;61.1;11;12;7;10;12;62;C;C;C;B;C;A;D;B;A
2025;15475;2;90;7;3;6ACCDBACABCAABDBCBDDABDB6AACABBCBCAADBBACBADDACCACABADCB6B666DCBABDDDCAABDACDBACBDCBDCDDDBCD6BBCCDBC;6000001111008101101101116111001001100111100011000118111061666111011001011100010101000001181161111011;CDBDBDACABDBBBABCCDDBBDBAAACCABADCADCBBACADBDAAADCACADCCABBCCDCBDBDACCBABDCBABBCDDBCADBDDDCDCBBCCBBC;555;-0.34;61.1;7;11;10;11;13;62;C;C;C;B;C;A;B;B;A
2025;1202546;2;90;7;3;6ACCDBACABCAABDBCBDDABDB6AACABBCBCAADBBACBADDACCACABADCB6B666DCBABDDDCAABDACDBACBDCBDCDDDBCD6BBCCDBC;6100010111118000101101116110100011010011100001010108101161666011111001101000101110111100180061111101;CAADABCCABCAADACCCDDCBDBAAADACAABCCABABACCCABABCCCCCAACBBBBBCCCBABDBCCABBADBDAACBCCBDCBCDCBCDBBCCDAC;555;-0.34;61.1;9;13;7;10;13;62;E;D;B;B;D;B;C;B;B
