Estado,Município,Instituição de Ensino Superior,Curso,Edição,Tipo Vaga,NOTA_CORTE_AMPLA,NOTA_CORTE_PCD,NOTA_CORTE_PPIQ
SP,ASSIS,IMESA - INSTITUTO MUNICIPAL DE ENSINO SUPERIOR DE ASSIS,1338858 - MEDICINA,1-2025,Fies,787.76,749.88,760.82
SP,AVARÉ,UNIFSP - CENTRO UNIVERSITÁRIO SUDOESTE PAULISTA,1597823 - MEDICINA,1-2025,Fies,765.40,694.82,719.52
SP,BARRETOS,FACISB - FACULDADE DE CIÊNCIAS DA SAÚDE DE BARRETOS DR. PAULO PRATA,1109361 - MEDICINA,1-2025,Fies,787.98,737.78,758.66
SP,BAURU,UNINOVE - UNIVERSIDADE NOVE DE JULHO,1399478 - MEDICINA,1-2025,Fies,769.12,724.28,720.10
SP,CAMPINAS,UNIP - UNIVERSIDADE PAULISTA,5001614 - MEDICINA,1-2025,Fies,776.56,701.68,745.36
SP,CAMPO LIMPO PAULISTA,UNIFACCAMP - CENTRO UNIVERSITÁRIO CAMPO LIMPO PAULISTA,1592633 - MEDICINA,1-2025,Fies,776.96,704.56,762.54
SP,CUBATÃO,USJT - UNIVERSIDADE SÃO JUDAS TADEU,1455021 - MEDICINA,1-2025,Fies,758.78,707.90,716.20
SP,DRACENA,FACULDADES DE DRACENA,1487491 - MEDICINA,1-2025,Fies,766.64,722.06,736.62
SP,FERNANDÓPOLIS,UB - UNIVERSIDADE BRASIL,65114 - MEDICINA,1-2025,Fies,760.90,737.34,727.88
SP,FRANCA,UNIFRAN - UNIVERSIDADE DE FRANCA,5000933 - MEDICINA,1-2025,Fies,767.98,737.78,758.64
SP,GUARUJÁ,UNIAERP - UNIVERSIDADE DE RIBEIRÃO PRETO,1427419 - MEDICINA,1-2025,Fies,758.78,707.90,716.20
SP,GUARUJÁ,UNOESTE - UNIVERSIDADE DO OESTE PAULISTA,1408261 - MEDICINA,1-2025,Fies,758.78,707.90,716.20
SP,GUARULHOS,ENIAC - CENTRO UNIVERSITÁRIO DE EXCEL - ENIAC,5001708 - MEDICINA,1-2025,Fies,758.78,707.90,716.20
SP,GUARULHOS,UNINOVE - UNIVERSIDADE NOVE DE JULHO,1397772 - MEDICINA,1-2025,Fies,758.78,707.90,716.20
SP,GUARULHOS,UNISA - UNIVERSIDADE SANTO AMARO,1599623 - MEDICINA,1-2025,Fies,758.78,707.90,716.20
SP,HORTOLÂNDIA,UNASP - CENTRO UNIVERSITÁRIO ADVENTISTA DE SÃO PAULO,1612720 - MEDICINA,1-2025,Fies,783.24,770.32,767.20
SP,ITU,CEUNSP - CENTRO UNIVERSITÁRIO NOSSA SENHORA DO PATROCÍNIO,1615613 - MEDICINA,1-2025,Fies,788.98,764.76,767.58
SP,JAÚ,UNOESTE - UNIVERSIDADE DO OESTE PAULISTA,1408262 - MEDICINA,1-2025,Fies,769.12,724.28,720.10
SP,LORENA,CENTRO DE ENSINO SUPERIOR DE LORENA,1611325 - MEDICINA,1-2025,Fies,769.08,728.70,735.20
SP,MAUÁ,UNINOVE - UNIVERSIDADE NOVE DE JULHO,1399479 - MEDICINA,1-2025,Fies,758.78,707.90,716.20
SP,MOGI DAS CRUZES,UMC - UNIVERSIDADE DE MOGI DAS CRUZES,10591 - MEDICINA,1-2025,Fies,758.78,707.90,716.20
SP,OSASCO,UNINOVE - UNIVERSIDADE NOVE DE JULHO,1397771 - MEDICINA,1-2025,Fies,758.78,707.90,716.20
SP,PENÁPOLIS,FAFIPE - FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DE PENÁPOLIS,1453546 - MEDICINA,1-2025,Fies,783.68,724.28,732.34
SP,PINDAMONHANGABA,UNIFUNVIC - CENTRO UNIVERSITÁRIO FUNVIC,1631927 - MEDICINA,1-2025,Fies,768.58,699.18,762.18
SP,PIRACICABA,UAM - UNIVERSIDADE ANHEMBI MORUMBI,1399477 - MEDICINA,1-2025,Fies,761.02,704.66,706.68
SP,PRESIDENTE PRUDENTE,UNOESTE - UNIVERSIDADE DO OESTE PAULISTA,6496 - MEDICINA,1-2025,Fies,780.68,766.04,742.82
SP,RIBEIRÃO PRETO,CEUSL - CENTRO UNIVERSITÁRIO BARÃO DE MAUÁ,19580 - MEDICINA,1-2025,Fies,787.98,737.78,758.64
SP,RIBEIRÃO PRETO,ESTÁCIO RIBEIRÃO PRE - CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO,1185903 - MEDICINA,1-2025,Fies,787.98,737.78,758.64
SP,RIO CLARO,CLARETIANO - CENTRO UNIVERSITÁRIO,1399483 - MEDICINA,1-2025,Fies,775.36,753.80,769.86
SP,SANTA FÉ DO SUL,UNIFUNEC - CENTRO UNIVERSITÁRIO DE SANTA FÉ DO SUL,1483773 - MEDICINA,1-2025,Fies,785.62,727.24,756.26
SP,SANTANA DE PARNAÍBA,UNIP - UNIVERSIDADE PAULISTA,5001418 - MEDICINA,1-2025,Fies,780.52,707.68,739.60
SP,SÃO BERNARDO DO CAMPO,UNINOVE - UNIVERSIDADE NOVE DE JULHO,1398317 - MEDICINA,1-2025,Fies,758.78,707.90,716.20
SP,SÃO JOSÉ DO RIO PARDO,UNIP - UNIVERSIDADE PAULISTA,5001417 - MEDICINA,1-2025,Fies,776.96,701.68,745.36
SP,SÃO JOSÉ DO RIO PRETO,UNILAG - UNIÃO DAS FACULDADES DOS GRANDES LAGOS,5000980 - MEDICINA,1-2025,Fies,770.30,684.90,733.84
SP,SÃO JOSÉ DOS CAMPOS,FACULDADE DE CIÊNCIAS MÉDICAS DE SÃO JOSÉ DOS CAMPOS,1363536 - MEDICINA,1-2025,Fies,769.08,728.70,735.20
SP,SÃO JOSÉ DOS CAMPOS,UAM - UNIVERSIDADE ANHEMBI MORUMBI,1408259 - MEDICINA,1-2025,Fies,769.08,728.70,735.20
SP,SÃO PAULO,UAM - UNIVERSIDADE ANHEMBI MORUMBI,100956 - MEDICINA,1-2025,Fies,758.78,707.90,716.20
SP,SÃO PAULO,UNICID - UNIVERSIDADE CIDADE DE SÃO PAULO,57402 - MEDICINA,1-2025,Fies,775.72,759.52,737.98
SP,SÃO PAULO,UNINOVE - UNIVERSIDADE NOVE DE JULHO,82226 - MEDICINA,1-2025,Fies,758.78,707.90,716.20
SP,SÃO PAULO,UNISA - UNIVERSIDADE SANTO AMARO,76455 - MEDICINA,1-2025,Fies,775.72,759.52,737.98
SP,SOROCABA,RACSCP - PONTIFÍCIA UNIVERSIDADE CATÓLICA DE SÃO PAULO,11233 - MEDICINA,1-2025,Fies,788.98,764.76,767.58
SP,SOROCABA,UNIP - UNIVERSIDADE PAULISTA,5001619 - MEDICINA,1-2025,Fies,780.66,699.18,745.36
TO,ARAGUAÍNA,ITPAC ARAGUAÍNA - CENTRO UNIVERSITÁRIO TOCANTINENSE PRESIDENTE ANTÔNIO CARLOS,99476 - MEDICINA,1-2025,Fies,773.82,728.44,763.90
TO,PORTO NACIONAL,FAPAC - FACULDADE PRESIDENTE ANTÔNIO CARLOS,72767 - MEDICINA,1-2025,Fies,769.54,728.44,753.32
